Launch Date,Recalls Number,Make,Recalls Model Information,Concern,Defect,Remedy,Vehicle Numbers,Manufacturer Ref,Model,VIN Start,VIN End,Build Start,Build End
16/12/2011,R/2011/149,TOYOTA,Verso,PANORAMIC ROOF GLASS MAY DETACH,There is a possibility that the panoramic roof glass might partially peel from the frame  due to insufficient adhesion strength of the paint on the panoramic roof frame.  In this condition the roof glass might separate from the frame  which could lead to wind noise.  If the vehicle is continuously operated  the panoramic roof glass may detach from the frame.,Inspect and replace if needed.,3205,TBA,VERSO ,,,11/02/2009,03/03/2011
25/05/2007,R/2007/035,MITSUBISHI,L200,FUEL MAY LEAK,A crack may occur in the fuel filter water sensor which can lead to a leakage of fuel.,Recalled vehicles will have the fuel filter water sensor replaced. ,7917,,L200,,,,
02/02/2018,RM/2018/004,TRIUMPH,Thruxton  Thruxton R  Thruxton 1200 dual seat  Thruxton 1200R dual seat,ENGINE STALL,Certain riding styles can cause the engine to stall., Recall the machines that are likely to be affected and download revised software for the engine management.,1507,,THRUXTON R,740405,872978,11/11/2015,24/01/2018
02/02/2018,RM/2018/004,TRIUMPH,Thruxton  Thruxton R  Thruxton 1200 dual seat  Thruxton 1200R dual seat,ENGINE STALL,Certain riding styles can cause the engine to stall., Recall the machines that are likely to be affected and download revised software for the engine management.,1507,,THRUXTON,740405,872978,11/11/2015,24/01/2018
02/02/2018,RM/2018/004,TRIUMPH,Thruxton  Thruxton R  Thruxton 1200 dual seat  Thruxton 1200R dual seat,ENGINE STALL,Certain riding styles can cause the engine to stall., Recall the machines that are likely to be affected and download revised software for the engine management.,1507,,THRUXTON DUAL SEAT 1200R,740405,872978,11/11/2015,24/01/2018
02/02/2018,RM/2018/004,TRIUMPH,Thruxton  Thruxton R  Thruxton 1200 dual seat  Thruxton 1200R dual seat,ENGINE STALL,Certain riding styles can cause the engine to stall., Recall the machines that are likely to be affected and download revised software for the engine management.,1507,,THRUXTON DUAL SEAT 1200,740405,872978,11/11/2015,24/01/2018
05/11/2010,R/2010/201,VOLVO CAR,S80  V70  XC70  XC60.,ENGINE SPEED MAY INCREASE WITHOUT WARNING.,It is possible that the engine oil level may rise above its maximum level due to overfilling and/or dilution by fuel. This may result in the engine speed being maintained or possibly increased after the throttle pedal has been released. In extreme cases  it is possible that the engine may continue to run after it has been switched off. ,Recall all affected vehicles and carry out an Engine Control Module software upgrade and adjust the engine oil.  The new ECM upgrade will improve adaption of different blends of fuel and include a dashboard text warning message if the oil level reaches too high a level.,4430,R29149,S80,,,,
05/11/2010,R/2010/201,VOLVO CAR,S80  V70  XC70  XC60.,ENGINE SPEED MAY INCREASE WITHOUT WARNING.,It is possible that the engine oil level may rise above its maximum level due to overfilling and/or dilution by fuel. This may result in the engine speed being maintained or possibly increased after the throttle pedal has been released. In extreme cases  it is possible that the engine may continue to run after it has been switched off. ,Recall all affected vehicles and carry out an Engine Control Module software upgrade and adjust the engine oil.  The new ECM upgrade will improve adaption of different blends of fuel and include a dashboard text warning message if the oil level reaches too high a level.,4430,R29149,V70,,,,
05/11/2010,R/2010/201,VOLVO CAR,S80  V70  XC70  XC60.,ENGINE SPEED MAY INCREASE WITHOUT WARNING.,It is possible that the engine oil level may rise above its maximum level due to overfilling and/or dilution by fuel. This may result in the engine speed being maintained or possibly increased after the throttle pedal has been released. In extreme cases  it is possible that the engine may continue to run after it has been switched off. ,Recall all affected vehicles and carry out an Engine Control Module software upgrade and adjust the engine oil.  The new ECM upgrade will improve adaption of different blends of fuel and include a dashboard text warning message if the oil level reaches too high a level.,4430,R29149,XC60,,,,
05/11/2010,R/2010/201,VOLVO CAR,S80  V70  XC70  XC60.,ENGINE SPEED MAY INCREASE WITHOUT WARNING.,It is possible that the engine oil level may rise above its maximum level due to overfilling and/or dilution by fuel. This may result in the engine speed being maintained or possibly increased after the throttle pedal has been released. In extreme cases  it is possible that the engine may continue to run after it has been switched off. ,Recall all affected vehicles and carry out an Engine Control Module software upgrade and adjust the engine oil.  The new ECM upgrade will improve adaption of different blends of fuel and include a dashboard text warning message if the oil level reaches too high a level.,4430,R29149,XC70,,,,
17/08/2001,R/2001/080,RENAULT,Megane Coupe & Cabriolet,ENGINE MAY CUT OUT,The camshaft sensor may fail and cause the engine to cut out,Affected vehicles are being recalled for replacement of the camshaft sensor.,771,0A2T,MEGANE,Various,,15/09/1999,08/02/2001
09/02/2009,RSPV/2009/005,KTM,450 XC  525 XC  450 SX & 505 SX, REAR BRAKE MAY NOT OPERATE,The rear brake calliper support bracket may fracture and the calliper can become insecure.,Recall affected machines and replace calliper mounting with revised type.,59,,XC,,,01/11/2007,31/07/2008
09/02/2009,RSPV/2009/005,KTM,450 XC  525 XC  450 SX & 505 SX, REAR BRAKE MAY NOT OPERATE,The rear brake calliper support bracket may fracture and the calliper can become insecure.,Recall affected machines and replace calliper mounting with revised type.,59,,SX,,,01/11/2007,31/07/2008
01/02/2008,RM/2008/006,KAWASAKI,ZG1400,REAR CARRIER MAY BECOME DETATCHED,In certain circumstances it is possible that the genuine accessory luggage carrier could break. In the worst case  the carrier and luggage could become detached from the motorcycle creating the potential for an accident.,Recall the machines that are likely to be affected to replace the luggage rack with one that has been newly designed and reinforced.,330,,ZG1400,JKBZGT40AAA005036,JKBZGT40AAA011397,,
24/09/2007,RM/2007/028,TRIUMPH,Rockett III,ENGINE MAY STALL,It has been identified that  the engine from time to time may stall when at idle.,Recalled vehicles will have the engine ECU re-programmed which will raise the engine RPM at idle.,1881,,ROCKET 3,00000000000205267,0000000000000320019,01/03/2004,31/05/2007
12/12/2017,RCOMP/2017/015,APEC,BRAKE DRUM DRM9926 FOR VAUXHALL CORSA (BATCH CODE 181116C),WHEEL BEARING RETAINER MAY BE INSECURE,Brake drum DRM9926 for Vauxhall Corsa  (BATCH CODE 181116C) The circlip that holds the bearing in may not be inserted correctly  this would allow the bearing to become loose. This could allow the wheel to detach.,Replace the brake drum/bearing assembly with a correctly manufactured version.,105,DRM9926,BRAKE DRUM DRM9926 FOR VAUXHALL CORSA,,,18/11/2016,19/11/2016
25/10/2013,R/2013/115,MERCEDES BENZ,ECONIC 957,CAB MAY TILT UNEXPECTEDLY,The cab tilt cylinder is connected to the frame of the cab by a pin.  This pin is secured by a hexagon head bolt.   The screw/bolt on some vehicles may not be tightened to the prescribed torque. As a result the cab may not be fully secure and  in the worst case could tilt unexpectedly.,Recall the vehicle that are likely to be affected to check and where necessary tighten the cab tilt cylinder mounting pin securing bolt.,112,SRL1302,ECONIC,WDB9573822V232704,WDB9576822V233078,,
13/06/2005,R/2005/084,PEUGEOT,807,AIRBAG SYSTEM MAY MALFUNCTION,Some cases have been found where inadequate drainage of water condensing from the air conditioning system has caused water to run under the carpet. This in turn may lead to the airbag warning light coming on  or in extreme cases  lead to airbag systems malfunctioning.,Recall the vehicles that are likely to be affected for modification of the drainage tube and the anti return valve.,6304,X7E,807,,,,
05/12/2000,R/2000/074,LAND ROVER,Range Rover V8 Petrol,COOLING SYSTEM LEAKS,There is a possibility of premature failure of the cooling system hoses and throttle body heater gasket. Expelled coolant allowed to remain on hot engine components can result in the evaporation of the water content and leave an artificially high concentration level of anti - freeze  which is in extreme circumstances both corrosive and inflammable.,Recall affected vehicles to replace cooling system hoses / throttle body heater gasket with quality assured parts.,17603,219,RANGE ROVER,LP300000 - LP418689,,01/01/1994,31/12/1999
01/06/2017,R/2017/144,MITSUBISHI,i-MiEV,VEHICLE MAY ROLL BACKWARDS,When trying to drive off uphill from a standstill  the vehicle may roll backwards. This is because of a software problem in the CMU.,Recall the vehicles that are likely to be affected and download countermeasure software to the CMU.,52,R3033310,i-MIEV,HA3W-0000895,HA3W-0001660,30/09/2009,09/02/2010
03/10/2013,RSPV/2013/002,CAN-AM.,Can-Am Spyder St series and RT series,FIRE MAY OCCUR,Under some riding conditions  the tandem master cylinder manifold inlet may melt and allow brake fluid to drip onto a heat source which may lead to a vehicle fire.,Recall the vehicles that are likely to be affected to inspect the manifold of the tandem master cylinder and replace where necessary. Reflecting heat shields and heat deflectors will also be installed.,15,2013-013,SPYDER,,,23/01/2012,26/06/2013
03/10/2013,RSPV/2013/002,CAN-AM.,Can-Am Spyder St series and RT series,FIRE MAY OCCUR,Under some riding conditions  the tandem master cylinder manifold inlet may melt and allow brake fluid to drip onto a heat source which may lead to a vehicle fire.,Recall the vehicles that are likely to be affected to inspect the manifold of the tandem master cylinder and replace where necessary. Reflecting heat shields and heat deflectors will also be installed.,15,2013-013,SPYDER,,,12/02/2012,26/06/2013
17/05/2006,R/2006/052,VAUXHALL,MONARO AND MONARO VXR,AIRBAG MAY INADVERTENTLY DEPLOY,In some circumstances there is a possibility that the side airbag may inadvertently deploy.,Recall the vehicles that are likely to be affected and fit additional springs to the front seats so that any electrostatic discharge will correctly earthed.,799,06C009,MONARO,6G1VX14F84L193858,6G1ZX14U15L525799,,
12/03/2010,RM/2010/003,HARLEY DAVIDSON,FL2,FIRE MAY OCCUR,It has been identified that on subject machines  the fuel tank front mountings may distort in reaction to severe frame damage occasioned in a frontal collision. This may result in fuel leakage from the weld of the front bracket to the tunnel. Fuel leakage in the presence of an ignition source may result in a fire.,Recalled machines will have braces fitted to the vulnerable area  in order to reduce fuel tank front mounting distortion during frontal impact scenarios.,959,0141,FL,,,06/06/2008,19/11/2009
19/04/2006,RM/2006/027,LLEXETER LTD,CTM50QT-7,HANDLEBARS MAY BECOME LOOSE,The steering clamp bolt may not be torqued to specification which could eventually have an adverse affect on the directional control of the machine.  ,Recall the vehicles that are likely to be affected and tighten the steering clamp bolt to specified torque setting.,50,,CTM50QT-7,,,,
13/08/2015,R/2015/161,CITROEN,C Crosser,MALFUNCTION CAUSING INSTRUMENT PANEL FUNCTIONS TO BECOME INOPERABLE,An electronic component within the Built-in Systems Interface (BSI) may not be to the correct specification. This could cause the audio-navigation system  the wipers and exterior lighting to malfunction and the warning light on the instrument panel may illuminate.,Recall the vehicles that are likely to be affected and check the production date of the BSI unit. Where the production date of the BSI unit is in the affected range  the unit will be replaced. ,733,NKC,C-CROSSER,VF7******8U954157,VF7******AZ907453,04/07/2007,02/07/2010
28/08/2007,RM/2007/036,KEEWAY,Flash 50 and Hurricane 50,CARBURETTOR HEATER MAY MALFUNCTION,The manufacturer has established that there is a slight possibility that if the battery terminals become loose or is unfortunately disconnected  the temperature control unit  which controls the operation of the carburettor heater  could short out internally and fail to operate the heater.,Recall all the affected machines and replace the control unit with a re-designed unit.,626,,FLASH 50,,,,
28/08/2007,RM/2007/036,KEEWAY,Flash 50 and Hurricane 50,CARBURETTOR HEATER MAY MALFUNCTION,The manufacturer has established that there is a slight possibility that if the battery terminals become loose or is unfortunately disconnected  the temperature control unit  which controls the operation of the carburettor heater  could short out internally and fail to operate the heater.,Recall all the affected machines and replace the control unit with a re-designed unit.,626,,HURRICANE 50,,,,
23/02/2016,R/2016/007,DACIA,Sandero & Logan,STEERING MAY FAIL,On a small number of vehicles  the drive rotor at the  ball join on the steering rod may break due to excessive stress. ,On affected vehicles check steering rack type and if necessary replace.,1517,0C7T,LOGAN,UU15SDA1553938905,UU17SDE3354468831,17/09/2015,04/12/2015
23/02/2016,R/2016/007,DACIA,Sandero & Logan,STEERING MAY FAIL,On a small number of vehicles  the drive rotor at the  ball join on the steering rod may break due to excessive stress. ,On affected vehicles check steering rack type and if necessary replace.,1517,0C7T,SANDERO,UU15SDA1553938905,UU17SDE3354468831,17/09/2015,04/12/2015
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS LS460,JTHGL*****5017978,JTHGL*****5037402,21/05/2007,26/10/2009
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS LS600HL,JTHDU*****5000142,JTHDU*****5012928,01/12/2006,23/06/2010
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS GS300,JTHBH*****5055555,JTHBH*****5068473,28/08/2007,16/06/2010
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS LS600h,JTHCU*****5000120,JTHCU*****5009783,02/11/2006,11/06/2010
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS LS460,JTHCL*****5000110,JTHCL*****5008050,27/06/2008,29/06/2010
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS LS460,JTHBL*****5046737,JTHBL*****5099597,20/06/2007,22/06/2010
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS LS460,JTHDL*****5000111,JTHDL*****5002564,01/09/2008,15/07/2010
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS GS 450H,JTHBC*****5000012,JTHBC*****5022835,26/09/2005,22/06/2010
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS GS300,JTHCH*****0005707,JTHCH*****0005707,06/05/2005,06/05/2005
24/11/2014,R/2014/135,TOYOTA,LS460  LS600h  GS300  GS350  GS460  GS450h  IS250  IS350  IS350C  IS-F,RISK OF FIRE,The fuel pressure sensor gasket may degrade and allow fuel to leak into the engine compartment. In the presence of an ignition source the risk of fire is increased.,Recall the vehicles that are likely to be affected to repair the fuel pipe and replace the fuel pressure sensor gasket.,9712,,LEXUS IS-F,JTHBP*****5000106,JTHBP*****5008031,13/07/2007,25/06/2010
